"","SampleID_old","Latitude","Longitude","MMI.d","MMI.sba","MMI.hybrid","OxyRed.DO_30.richness","prop.spp.BCG4","prop.spp.IndicatorClass_DOC_high_raw"
"1","000CAT148_08/10/10_1","39.07525","-119.89953",0.847718859,1.000676724,0.821830667,1.105045771,0.284417893,1.076028336
"28","000CAT228_08/10/10_1","39.07317","-119.92006",0.727570501,1.000676724,0.708680082,0.937904777,0.106061896,1.082073572
"56","102PS0139_08/09/10_1","41.99596375","-122.9597956",0.739451904,1.148473067,1.05519223,1.104531038,1.067604607,1.037558649
"81","102PS0177_08/28/12_1","41.92939101","-123.5725438",1.139708239,1.088383094,1.040264127,1.140609782,0.857257469,1.016785018
"107","102PS0177_08/28/12_2","41.92939101","-123.5725438",1.126725671,0.975619923,1.083254769,1.140609782,1.008446408,1.037558649
"130","103CDCHHR_09/14/10_1","41.78887","-124.07766",0.844592347,1.000676724,0.835674737,0.724482029,0.906380835,1.046590662
"153","103CDCHHR_09/14/10_2","41.78887","-124.07766",0.593965663,1.000676724,0.658207953,0.724482029,0.299352778,1.076028336
"180","103FC1106_07/15/14_1","41.93373124","-124.1084",0.670656198,1.189612422,1.013948345,1.192303049,0.884277208,1.082073572
"210","103FCA168_07/24/13_1","41.65021","-124.09143",0.83804443,1.200430788,0.759696293,0.96936167,0.18982775,1.082073572
"238","103KLCMSR_09/14/10_1","41.855326","-123.8523907",0.75238262,1.11761855,0.986420881,0.976376653,0.962320873,0.991395024
"258","103PS0217_09/10/13_1","41.68708553","-124.0834954",0.965573182,1.00664407,0.869457664,1.162789507,0.29754032,1.087701896
"289","103RDCBCC_07/21/11_1","41.9548","-124.06245",0.739529098,1.10012176,0.905393281,1.161822368,0.62029652,0.810037929
"327","103WER026_08/15/12_1","41.84611","-124.0275",1.138159419,1.204011196,1.196320206,1.169501453,1.328255618,1.128110373
"368","103WER026_08/15/12_2","41.84611","-124.0275",1.091520948,1.138734609,1.16715717,1.169501453,1.328255618,1.143734985
"457","103WER030_08/10/11_1","41.85675","-123.91167",1.137154866,1.000676724,1.102421292,1.142318394,1.222863047,0.893741204
"473","105BVCAGC_09/21/10_1","41.612018","-123.2922174",0.997404696,1.200430788,0.99606621,1.050238454,0.790952864,1.004758179
"546","105CLCATC_08/10/10_1","41.734909","-123.5482217",1.138084534,0.826283792,1.051693761,1.022328659,1.243806064,0.803017654
"808","105DLCDCC_05/19/09_1","41.57269","-123.54353",1.313295259,1.077926864,0.942021271,1.022754201,0.923457711,0.810037929
"829","105DLCDCC_06/23/09_1","41.57269","-123.54353",1.103263923,1.204754841,0.853624557,0.635898527,1.203937193,0.959657533
"861","105DLCDCC_08/05/09_1","41.57269","-123.54353",0.969717877,0.940388859,0.949651229,0.829326364,1.328255618,0.893741204
"908","105DLCDCC_09/15/09_1","41.57269","-123.54353",1.056918825,1.104165274,0.878020568,1.022754201,0.912898484,0.696871101
"944","105DLCDCC_10/20/09_1","41.57269","-123.54353",0.904009445,1.204754841,0.974947254,1.022754201,1.1874384,0.810037929
"965","105FC1116_08/05/14_1","41.91258241","-120.92125",1.122457877,0.771851456,1.064832071,1.101543806,1.190108206,0.930108833
"1083","105FC1120_07/30/14_1","41.55364087","-121.92469",1.098764054,1.185634191,1.123012744,1.192303049,0.941821656,1.175144004
"1141","105FC1297_07/22/14_1","41.3286","-123.41992",1.042232542,1.012611416,1.078125383,1.060240515,1.118000155,1.125026569
"1186","105FCA116_07/16/13_1","41.31833","-123.04833",1.043439398,1.111651204,0.95237155,1.069127296,0.62238812,0.976459734
"1203","105FS0416_09/24/13_1","41.614111","-123.2818724",1.011710933,0.911108919,0.963636888,0.80481307,1.035530368,1.004758179
"1243","105FS0425_08/10/11_1","41.357991","-123.0751172",1.109034075,1.010237816,1.124633008,1.063310645,1.328255618,0.968313212
"1282","105FS0428_08/03/11_1","41.441054","-123.3582004",1.043717395,1.238479182,1.037939087,1.015326572,1.10629674,1.016785018
