"","SampleID_old","Latitude","Longitude","MMI.d","MMI.sba","MMI.hybrid","OxyRed.DO_30.richness","prop.spp.BCG4","prop.spp.IndicatorClass_DOC_high_raw"
"1304","105NWC151_06/26/13_1","41.91713","-120.88105",1.154159173,0.729597089,0.974416853,1.127546955,0.821951231,0.906761713
"1390","105PS0028_08/12/08_1","41.75104","-122.00236",1.006582634,1.204754841,0.974388265,0.787813526,1.133385603,1.046590662
"1436","105PS0028_08/26/08_1","41.75104","-122.00236",1.088942875,1.044278295,0.874201315,0.400957853,1.073129142,1.092954998
"1500","105PS0043_09/17/08_1","41.72919","-123.23588",0.970779691,1.085883326,0.998391395,0.999144184,1.231802231,0.991395024
"1537","105PS0067_08/24/09_1","41.13969317","-123.1392839",0.519110963,1.077926864,0.770199142,1.146651178,0.288764338,0.635935117
"1552","105PS0067_08/24/09_2","41.13969317","-123.1392839",0.58003435,0.800490663,0.698008058,1.146651178,0,0.635935117
"1567","105PS0067_09/15/09_1","41.13969317","-123.1392839",0.503596801,0.966952384,0.664938869,1.146651178,0,0.635935117
"1582","105PS0069_08/18/09_1","41.29520393","-123.9404141",0.780579085,0.834215004,0.730943171,1.075121564,0,0.918852186
"1596","105PS0083_09/08/09_1","41.3647222","-123.1880519",1.224661144,1.080910537,1.030122289,1.034256709,0.936483416,0.991395024
"1632","105PS0090_08/07/12_1","41.07997709","-123.0291124",1.091773465,1.058466952,1.13631271,0.958665111,1.328255618,1.118344991
"1672","105PS0090_08/25/09_1","41.07997709","-123.0291124",0.901140916,0.978175999,0.919490908,0.765237274,1.282931964,0.62208603
"1694","105PS0092_08/11/08_1","41.5766","-121.92436",0.968966998,1.067514434,1.052072517,0.756952115,1.328255618,1.069518081
"1881","105PS0107_09/14/09_1","41.71232633","-123.0186032",1.177531595,0.652497942,0.801962801,1.192303049,0.53646878,0.592409414
"1918","105PS0129_08/11/10_1","41.92387853","-123.4649772",0.838902305,1.145915633,1.014081233,1.070795228,1.106527361,1.121776072
"1958","105PS0129_08/11/10_2","41.92387853","-123.4649772",0.938620083,1.145915633,0.938751512,0.877367391,0.976677401,1.143734985
"2004","105PS0149_08/29/12_1","41.2410044","-123.6554558",1.383042426,1.097983858,1.117672921,1.059569966,1.328255618,1.069518081
"2031","105PS0154_08/09/11_1","41.09811699","-123.0733061",0.942191703,1.078002635,1.086797375,0.984391013,1.222312564,1.131039988
"2076","105PS0154_08/09/11_2","41.09811699","-123.0733061",1.171488097,1.120602224,1.167259035,1.17781885,1.238617254,1.110877346
"2112","105PS0188_08/26/08_1","41.71972","-122.34917",0.94214851,0.966952384,0.742012695,0.412560299,0.820300879,1.090372965
"2172","105PS0188_08/26/08_2","41.71972","-122.34917",0.877097212,1.278112925,0.907556746,0.412560299,1.039539078,1.136480701
"2214","105PS0193_08/29/12_1","41.8294","-123.3849",1.235043626,1.051363339,1.070559255,1.072258832,1.328255618,0.874738298
"2260","105PS0195_08/07/12_1","41.1889","-123.0749",1.15125102,1.204011196,1.151821474,1.056971585,1.328255618,1.082073572
"2289","105PS0211_08/20/13_1","41.42697053","-122.9217082",0.827602705,1.143358199,0.957821262,1.152028472,0.587483803,1.082073572
"2319","105PS0211_09/16/13_1","41.42697053","-122.9217082",1.171813144,1.07084182,1.01059606,1.152028472,0.678861734,1.069518081
"2348","105PS0231_08/29/13_1","41.60865271","-122.4567118",0.727967555,1.128724201,0.775657783,1.045494867,0.384497296,1.143734985
"2396","105PS0259_09/17/13_1","41.1406891","-123.172734",1.059652105,1.250369305,1.028745674,1.154562376,0.875450904,1.076028336
"2423","105PS0267_07/21/14_1","41.88061381","-123.1299461",1.098456645,1.088383094,0.96968133,1.142524717,0.598057815,1.110877346
"2458","105PS0276_09/01/09_1","41.98998445","-120.8107703",0.755077069,1.118471029,1.0451861,1.053335142,1.063227009,1.166498427
"2517","105PS0276_09/22/09_1","41.98998445","-120.8107703",0.599590347,1.059799446,1.146730816,1.053335142,1.196206786,1.175144004
"2611","105PS0468_09/01/09_1","41.90294","-121.01732",1.023846794,0.829324995,1.107540772,1.153382466,1.042501372,0.940615038
"2679","105PS0540_08/05/10_1","41.62029","-122.06964",0.412974927,1.115629435,0.822254846,0.819642077,0.722681737,1.128110373
"2721","105PS0540_09/15/10_1","41.62029","-122.06964",0.626935871,1.000676724,0.882201758,1.013069914,0.658071079,1.106804085
"2756","105PS0660_08/03/10_1","41.91571532","-120.8886324",0.911306605,0.787935515,0.947837132,0.948871215,1.060506098,1.004758179
"2847","105PS0660_08/03/10_2","41.91571532","-120.8886324",1.081846584,0.77751386,1.022196839,0.948871215,1.179297408,0.918852186
"2952","105PS1404_08/28/13_1","41.92433598","-122.3888724",0.586614633,0.847167386,0.781862284,0.807688236,0.3695168,1.022358431
"2996","105PS1404_08/28/13_2","41.92433598","-122.3888724",0.914205854,0.934092036,0.910719677,0.807688236,0.549796295,1.092954998
"3027","105PS1492_08/06/14_1","41.86231179","-120.9950024",1.1499086,0.98850985,1.166850048,1.014249823,1.328255618,1.15740652
"3161","105TMCACC_08/10/10_1","41.73691","-123.54855",0.99214051,1.250369305,1.106203913,1.030820141,1.240648162,1.016785018
"3222","105WLC135_06/26/13_1","41.89911","-121.04438",1.097582366,0.743503111,1.010960753,1.015262096,1.029047516,0.969981777
"3308","105WLCABC_08/03/11_1","41.442112","-123.3489665",0.897457116,1.133414104,0.95405184,1.015539342,0.959139659,0.810037929
"3330","106FC1183_07/24/14_1","40.63704","-122.7465",1.035369551,1.000676724,0.929738151,0.911391347,0.828127473,1.102476245
"3363","106FC1313_07/23/14_1","40.87032","-122.80039",1.243112449,1.222625684,1.138797523,1.073161495,1.328255618,1.143734985
"3411","106FCA036_07/15/13_1","40.80167","-122.92944",0.947682096,1.167138444,0.999320858,0.928287729,0.885470216,1.046590662
"3434","106FS0040_08/30/11_1","40.16904","-123.0252336",0.883610863,1.077926864,0.877678013,1.036487577,0.755900012,0.70762451
"3453","106HLCACC_09/23/13_1","41.01605","-123.59623",1.024777765,1.131478361,1.111170504,1.046803728,1.264939489,1.106804085
"3488","106MNCAHC_10/01/08_1","40.638","-123.321",1.23436469,0.966952384,0.876758543,1.010826151,0.832687764,0.918852186
"3516","106MNCAHC_10/01/08_2","40.638","-123.321",1.042657902,0.966952384,0.708367319,1.192303049,0,0.764221399
"3536","106PS0022_09/30/08_1","40.67269","-123.52279",0.521783902,1.000676724,0.80953103,1.104967479,0.428606684,0.959657533
"3552","106PS0051_09/16/08_1","41.24781","-122.64249",0.874226829,0.988838028,0.934085628,0.722698041,1.037122352,1.09786919
"3587","106PS0051_09/16/08_2","41.24781","-122.64249",1.31856167,0.975619923,1.110404099,1.109553714,1.133986233,1.054870008
"3615","106PS0078_08/26/09_1","40.55161889","-123.1349522",1.176702317,0.929460926,1.139474248,1.167547832,1.328255618,1.042175011
"3671","106PS0106_09/08/09_1","40.81234992","-123.1198564",0.968240534,1.02840697,1.006722265,1.053773578,1.047887498,0.918852186
"3700","106PS0106_09/08/09_2","40.81234992","-123.1198564",0.964096666,1.103702168,1.052378334,1.192303049,1.030671366,0.847886366
"3723","106PS0115_09/21/10_1","41.17285046","-122.869889",1.059652355,1.07084182,0.913198308,0.97513457,0.612939402,1.054870008
"3751","106PS0122_09/20/10_1","41.11227618","-122.8648213",1.211318844,0.965903403,0.996434886,0.845322846,1.016884235,1.114717849
"3790","106PS0124_08/16/10_1","40.17040852","-123.0288411",0.929196715,1.115629435,0.976850292,1.050910846,0.771224622,1.069518081
"3821","106PS0142_07/19/10_1","40.45844398","-123.1671669",1.10489895,0.892429662,0.979859694,0.762129533,1.328255618,1.066071476
"3879","106PS0166_08/02/11_1","41.04441612","-123.6111585",1.03586099,1.000676724,1.060523147,1.039208462,1.075969868,1.062487006
"3905","106PS0173_08/04/11_1","40.37818598","-123.2988996",1.132204276,1.173105791,1.102872691,1.07523762,1.328255618,1.131039988
"3948","106PS0186_09/26/12_1","40.3062","-123.1213",0.76638989,0.97291973,0.805236412,1.043431636,0.294207486,0.864445057
"3972","106PS0206_10/03/12_1","40.5401","-122.9348",1.108570324,1.120885704,1.018645529,0.953023465,1.101746429,1.010925789
"4014","106PTCAHC_09/02/08_1","40.49615","-123.03502",1.056116352,1.015281078,0.901694368,0.953339398,0.827741403,1.062487006
"4131","106WE1079_08/08/12_1","41.13251","-122.80644",0.946946142,0.979739554,1.021789794,1.095560899,1.049093172,0.933690494
"4180","106WER011_09/11/13_1","40.93667","-123.15389",1.324723199,1.134232521,1.15628559,1.050943084,1.328255618,1.102476245
"4218","106WER016_05/18/09_1","40.48972","-123.02833",1.178121426,1.098994091,1.122402688,1.146767234,1.328255618,0.976459734
"4253","106WER016_06/22/09_1","40.48972","-123.02833",1.148785214,1.188901344,0.960196247,1.146767234,0.858057509,0.930108833
"4283","106WER016_08/04/09_1","40.48972","-123.02833",1.102875166,1.166706448,1.052725938,1.146767234,1.278606054,0.879679053
"4315","106WER016_09/16/09_1","40.48972","-123.02833",1.301546457,1.096143219,1.132484009,1.146767234,1.328255618,1.016785018
"4356","106WER016_10/20/09_1","40.48972","-123.02833",1.222102904,1.182067671,1.054832502,1.146767234,1.093819572,0.940615038
"4387","107GWCAPC_09/15/10_1","41.367888","-124.0243427",1.214734545,1.067261412,1.097055686,0.920166524,1.316833811,0.976459734
"4405","107LLM101_09/13/10_1","41.326973","-124.0238709",1.149218318,1.111651204,1.003870445,0.928864329,0.962054755,1.062487006
"4480","107PS0021_09/03/08_1","41.32445","-124.00712",0.535339242,1.133414104,0.682885379,0.681637763,0.444043292,0.940615038
"4510","107RWCBHW_08/03/11_1","41.19664","-123.99636",0.988663258,1.088383094,1.04628908,1.081717453,1.129021923,1.076028336
"4537","107RWCBHW_08/03/11_2","41.19664","-123.99636",0.518328793,1.088383094,0.93153945,1.081717453,0.718385297,1.027666443
"4558","107WER092_08/27/12_1","41.4","-124.05806",0.818891936,1.143358199,0.923331242,1.066088484,0.679468673,1.037558649
"4592","109PS0162_07/20/11_1","40.90519282","-124.0416677",0.870896697,0.683620551,0.834105116,0.652410817,0.970766511,0.940615038
"4640","110ECSLSF_07/26/11_1","40.67323","-124.0966",1.142941759,0.78151995,0.898587738,0.873943718,0.91263581,0.906761713
"4668","110FCA102_07/25/13_1","40.72528","-124.11528",0.885592159,0.834215004,0.897471751,0.501530656,1.207947695,1.102476245
"4700","110PS0114_07/21/10_1","40.68788407","-124.0505315",0.879668613,1.000676724,0.930181514,0.862666875,1.141381282,1.082073572
"4731","110SMCATH_07/27/11_1","40.63848","-124.10397",0.63273483,1.000676724,0.840088603,1.08507665,0.372902205,0.864445057
"4745","111BBRBCC_09/23/09_1","39.69838","-122.9225",1.144322419,0.65551139,1.027965512,1.046002384,1.22534883,0.950443422
"4844","111CBCAER_08/08/13_1","39.52904821","-122.8483298",1.170846248,1.025172518,0.998237333,1.079970155,0.87167733,1.037558649
"4891","111CBCAER_08/08/13_2","39.52904821","-122.8483298",1.184288129,0.860467992,1.009298647,1.079970155,1.123658897,0.829822339
"4935","111CE0569_05/11/10_1","40.3461","-123.99327",1.312108302,0.834215004,1.024753579,0.661983652,1.328255618,1.054870008
"4960","111CE0569_06/15/10_1","40.3461","-123.99327",1.127493568,1.111651204,0.970516761,0.661983652,1.328255618,1.102476245
"5012","111CE0569_09/01/10_1","40.3461","-123.99327",1.036960628,1.167138444,0.962151757,0.855411489,1.101367766,1.102476245
"5044","111CE0569_10/11/10_1","40.3461","-123.99327",1.265024729,0.834215004,1.009223531,0.661983652,1.328255618,1.125026569
"5156","111ERATRC_10/10/12_1","39.5525","-122.8613",1.217204664,0.990127946,1.068540093,1.032199927,1.149864601,1.072834626
"5224","111FC1098_06/10/14_1","39.75738866","-123.72484",1.19396733,1.124791053,0.964207565,0.699226801,1.328255618,1.069518081
"5283","111FCA207_07/23/13_1","40.10694","-123.79667",1.124291979,1.200430788,0.8240321,0.667594902,0.737296086,1.121776072
"5320","111FS0001_07/05/11_1","39.327001","-122.8310176",1.032754367,1.054658754,1.033878528,1.021703243,1.04084499,0.764221399
"5342","111FS0007_07/11/11_1","39.471304","-122.8336498",1.09388701,1.166706448,1.063840258,1.055740094,1.309475065,0.864445057
"5368","111FS0008_05/02/12_1","39.319333","-122.8453617",1.152653456,1.000676724,0.981423288,0.822601523,0.718318815,1.076028336
"5397","111FS0008_06/07/12_1","39.319333","-122.8453617",1.263751862,0.914689327,1.148411123,1.016029359,1.328255618,0.940615038
"5433","111FS0008_07/06/11_1","39.319333","-122.8453617",0.829971747,1.077926864,1.039076237,1.016029359,1.141032989,0.70762451
"5452","111FS0008_07/19/12_1","39.319333","-122.8453617",1.308904573,1.047186197,1.125237623,1.016029359,1.25961255,0.933690494
"5507","111HSCAER_07/26/11_1","39.524613","-122.8521869",0.918352955,1.115629435,0.96464983,0.906942507,0.954036589,1.106804085
"5541","111HSCAER_07/26/11_2","39.524613","-122.8521869",1.116896367,1.115629435,1.000616778,1.100370344,0.786048878,1.092954998
"5572","111PAL105_07/13/11_1","40.349821","-123.964266",1.185407374,1.109633858,1.040738655,1.045460786,1.143036963,0.788275077
"5594","111PS0008_09/09/08_1","39.52196","-123.3967",0.791888174,1.060800945,0.887413913,0.835632111,1.240312087,0.97108303
"5646","111PS0008_09/09/08_2","39.52196","-123.3967",0.930356839,1.036004889,1.006217949,1.029059948,1.328255618,0.900374293
"5700","111PS0008_09/29/08_1","39.52196","-123.3967",0.794536105,0.962450126,0.917752603,0.835632111,1.328255618,0.872217504
"5750","111PS0013_08/19/08_1","40.40597","-123.8484",1.01132418,1.077926864,0.907817922,0.656808076,1.270179719,0.906761713
"5778","111PS0057_08/18/08_1","40.46917","-123.92925",0.390674178,1.077926864,0.743169818,0.659277505,0.907927785,0.635935117
"5793","111PS0060_10/07/08_1","40.1289","-123.11226",0.80389028,0.963345969,0.988281549,0.94564097,1.045428124,1.082073572
"5822","111PS0095_08/27/09_1","39.78908485","-123.7369415",1.03492913,1.133414104,0.987111756,0.88329273,1.16061568,0.940615038
"5853","111PS0095_08/27/09_2","39.78908485","-123.7369415",1.116999635,1.077926864,0.925205178,0.88329273,1.03543774,0.950443422
"6008","111PS0121_07/20/10_1","40.22576525","-123.845495",1.062683313,0.867912596,0.815237275,0.494687916,1.328255618,1.058756231
"6060","111PS0144_08/18/10_1","39.90023639","-123.0172243",0.931137358,1.137426508,0.951625418,0.904735588,0.906861678,1.09786919
"6094","111PS0159_07/14/11_1","39.79971543","-123.6558624",1.083782363,0.86589525,0.9338113,0.694848884,1.328255618,0.965486868
"6156","111PS0160_07/25/11_1","39.44605152","-123.0289344",0.917747427,1.200430788,0.986676926,0.946769299,1.091318852,1.016785018
"6178","111PS0169_07/25/11_1","40.58297364","-123.9889142",0.969907042,1.148473067,0.966237839,0.875104285,1.155107431,1.136480701
"6220","111PS0169_07/25/11_2","40.58297364","-123.9889142",0.944135594,1.204011196,0.921767103,0.681676448,1.155107431,1.152025595
"6269","111PS0178_08/14/12_1","40.67994475","-123.9506428",1.136131581,0.975903403,0.881294056,1.09209808,0.526819474,0.976459734
"6304","111PS0204_08/17/10_1","39.27704333","-122.8660285",1.055466787,1.200430788,1.070715999,0.968297817,1.238872219,1.016785018
"6329","111PS0237_09/12/13_1","40.33346556","-123.4649996",1.208995806,0.921762131,0.991738527,1.058531903,1.158222377,0.856341868
"6381","111RSCAER_08/08/11_1","39.987776","-123.0513195",1.008336142,0.907604283,0.993008679,0.934820064,0.873113097,1.027666443
"6406","111SF1016_07/14/10_1","40.26682","-123.86703",0.976681966,0.855977904,0.787350445,0.470395222,1.283664314,1.022358431
"6448","111SF1016_08/02/10_1","40.26682","-123.86703",1.019559055,1.077926864,0.75619937,0.276967385,1.328255618,1.046590662
"6500","111SF1016_08/25/10_1","40.26682","-123.86703",0.874196398,0.967357632,0.719541043,0.470395222,1.328255618,0.97108303
"6563","111SF1016_09/14/10_1","40.26682","-123.86703",1.078059836,0.761504882,0.954941413,0.857250896,1.328255618,0.864445057
"6638","111SF1016_10/04/10_1","40.26682","-123.86703",1.062887788,0.863758023,0.843517446,0.663823059,1.328255618,0.876730538
"6710","111SF1569_07/14/10_1","40.24307","-123.83101",0.853860203,1.188901344,0.832745934,0.665138368,1.077864621,0.950443422
"6746","111SF1569_08/02/10_1","40.24307","-123.83101",1.226474718,0.973249207,1.004958897,1.051994042,1.328255618,0.73749509
"6797","111SF1569_08/25/10_1","40.24307","-123.83101",1.013387415,0.886389427,0.863090249,0.471710531,1.328255618,0.882580767
"6877","111SF1569_08/25/10_2","40.24307","-123.83101",1.065994929,0.960796369,0.924664759,0.665138368,1.328255618,0.935450971
"6950","111SF1569_09/14/10_1","40.24307","-123.83101",0.704680782,0.575650568,0.755668957,0.471710531,1.168653017,0.6124982
"7033","111SF1569_10/04/10_1","40.24307","-123.83101",0.92139423,0.683979259,0.84864893,0.665138368,1.328255618,0.631387655
"7115","111SF1944_07/15/10_1","40.21684","-123.79095",0.713501238,1.040697887,0.868984664,0.673932887,1.328255618,0.968313212
"7155","111SF1944_08/03/10_1","40.21684","-123.79095",0.968658371,1.090979254,0.920975489,0.867360724,1.294337749,0.884489789
"7198","111SF1944_08/24/10_1","40.21684","-123.79095",1.104841592,0.792217337,0.942975913,0.867360724,1.328255618,0.674020107
"7260","111SF1944_09/15/10_1","40.21684","-123.79095",0.88996265,0.583649658,0.769745902,0.867360724,1.037783015,0.536126177
"7333","111SF1944_10/05/10_1","40.21684","-123.79095",1.03828614,1.085386047,1.006090756,0.867360724,1.328255618,1.058756231
"7388","111SF2538_07/15/10_1","40.14781","-123.8019",1.117955704,0.943969267,0.909998286,0.677595121,1.328255618,0.864445057
"7429","111SF2538_08/03/10_1","40.14781","-123.8019",0.918375978,0.856726243,0.842306379,0.677595121,1.328255618,0.725954184
"7485","111SF2538_08/24/10_1","40.14781","-123.8019",1.062838107,0.811554004,0.826284163,0.677595121,1.328255618,0.661865323
"7548","111SF2538_09/15/10_1","40.14781","-123.8019",0.90430515,0.489758772,0.904175692,1.064450795,1.328255618,0.45429901
"7612","111SF2538_10/03/10_1","40.14781","-123.8019",0.888870131,0.591974323,0.890346334,0.871022958,1.328255618,0.592409414
"7696","111TGCAER_07/24/12_1","39.39523","-122.86543",1.024753788,1.040697887,0.993892878,1.050833475,0.956263144,0.829822339
"7721","111TGCAER_08/17/10_1","39.39523","-122.86543",0.963340882,0.97291973,0.873159856,0.857405638,0.780971619,0.847886366
"7745","111WE0816_06/12/13_1","39.58789","-122.9165",1.146535207,1.04960291,1.118152593,0.849481544,1.328255618,1.143734985
"7796","111WE1050_06/12/13_1","39.71181","-122.8409",1.124758488,1.107019872,1.151427643,1.04438588,1.275222255,1.150082483
"7849","111WE1071_07/26/12_1","39.70044","-122.81126",0.99847615,1.097983858,1.111293877,1.048061009,1.111012063,1.150082483
"7945","111WER008_07/23/12_1","39.49361","-122.86417",1.083940097,1.171613954,1.074012981,1.051974699,0.999625024,1.102476245
"7982","111WER159_05/21/09_1","39.42944444","-122.8444444",0.841190892,0.901636936,0.909744406,1.109338948,0.807653265,0.847886366
"8006","111WER159_06/24/09_1","39.42944444","-122.8444444",0.397726375,1.000676724,0.495695987,0.529055437,0,0.976459734
"8023","111WER159_08/03/09_1","39.42944444","-122.8444444",0.843295612,1.167138444,0.74703008,0.915911111,0.338991897,0.991395024
"8043","111WER159_09/16/09_1","39.42944444","-122.8444444",0.997397578,1.077926864,0.668267326,0.722483274,0.338991897,0.73749509
"8061","111WER159_10/19/09_1","39.42944444","-122.8444444",1.130047953,1.111651204,0.997720004,0.915911111,1.108935572,0.959657533
"8077","112PS0157_07/12/11_1","40.23160629","-124.1122132",1.244385116,1.072035289,1.096066957,1.053012762,1.328255618,1.125026569
"8125","113GAR010_06/08/09_1","38.83737","-123.54644",0.540429047,1.033537072,0.692187807,1.096740348,0,0.635935117
"8140","113GAR010_08/27/12_1","38.83737","-123.54644",1.123491119,1.111651204,0.89498312,1.096740348,0.455721347,0.991395024
"8158","113GAR011_08/22/11_1","38.891385","-123.455869",1.174944676,1.000676724,0.93915566,0.518739286,1.328255618,1.136480701
"8200","113GAR011_09/01/10_1","38.891385","-123.455869",0.821943496,1.166706448,0.728036671,0.518739286,0.761142092,0.991395024
"8245","113GAR015_08/23/11_1","38.893128","-123.508853",1.024839238,0.654673419,0.794224126,0.518262164,1.302081679,0.555453628
"8302","113GAR015_08/31/10_1","38.893128","-123.508853",0.877510953,0.636469232,0.732996021,0.711690001,1.052331755,0.499140051
"8365","113GAR015_09/09/13_1","38.893128","-123.508853",1.328847349,0.670340432,0.891432705,0.711690001,1.328255618,0.592409414
"8587","113GAR030_08/26/09_1","38.8702","-123.56669",0.956241049,1.035788769,0.987778087,0.943945252,1.328255618,1.14594281
"8644","113GAR030_08/26/09_2","38.8702","-123.56669",0.907736297,1.189612422,0.999334911,0.750517415,1.327523979,1.121776072
"8682","113GAR030_08/28/12_1","38.8702","-123.56669",1.129524092,0.934752758,0.858292847,0.557089579,1.328255618,0.882580767
"8765","113GAR038_09/10/12_1","38.83908","-123.53457",0.819142149,1.111651204,0.864952163,0.903312511,0.753553685,0.893741204
"8781","113GAR042_09/10/13_1","38.874568","-123.524799",1.198781983,0.66727219,0.906682575,0.712167123,1.328255618,0.781651601
"9393","113GAR062_06/30/09_1","38.85961","-123.54843",0.869924546,1.034374316,0.916528287,0.90559496,1.328255618,1.032727572
"9452","113GAR062_08/27/12_1","38.85961","-123.54843",1.024158792,0.798972079,0.881839525,0.712167123,1.328255618,0.955123605
"9516","113GAR084_06/28/10_1","38.92636","-123.62885",0.904979554,0.867899222,0.910228935,0.738099348,1.328255618,0.933690494
"9571","113GAR087_06/29/10_1","38.90814","-123.48965",1.088259884,1.043962156,1.050992903,1.143105001,1.328255618,1.106804085
"9614","113GAR087_08/06/13_1","38.90814","-123.48965",1.303946128,0.765256785,1.018132137,0.949677164,1.328255618,0.904235346
"9695","113GAR087_09/11/12_1","38.90814","-123.48965",1.2948013,0.856712629,1.06386556,1.143105001,1.328255618,0.893741204
"9770","113GAR087_09/11/12_2","38.90814","-123.48965",1.146868648,0.860678432,0.885521763,0.756249327,1.328255618,0.964051955
"9928","113GAR094_07/27/10_1","38.86295","-123.56825",0.816007545,0.972906356,1.005825798,0.943945252,1.328255618,0.953580141
"9990","113GAR094_07/27/10_2","38.86295","-123.56825",0.928176399,0.874446903,0.92904912,0.750517415,1.328255618,0.70762451
"10629","113GAR118_07/26/10_1","38.84264","-123.54917",0.907171627,1.278112925,0.992725145,0.903312511,1.085833391,0.940615038
"10644","113GAR118_09/10/12_1","38.84264","-123.54917",0.570994384,1.167138444,0.908276159,1.096740348,0.651041669,0.976459734
"10880","113GAR244_06/28/10_1","38.93172","-123.59238",0.845000118,0.873804171,0.907624951,1.158153686,0.913781877,0.64918207
"10905","113PS0012_09/09/08_1","39.257","-123.50959",1.056352777,0.890450583,0.892040451,0.780182798,1.328255618,0.893741204
"10957","113PS0012_09/09/08_2","39.257","-123.50959",1.240472093,0.800463916,0.806253944,0.586754961,1.019450045,0.788275077
"10997","113PS0076_08/02/12_1","38.9363","-123.5005",1.284658673,1.096274184,1.090882583,1.135806324,1.171368251,1.022358431
"11040","113PS0076_08/22/12_1","38.9363","-123.5005",1.062296104,1.167138444,0.703372757,0.74895065,0.164056575,1.131039988
"11085","113PS0084_08/18/09_1","39.40611383","-123.7126358",1.006106986,1.094999861,1.034677098,1.101930662,1.165458127,0.976459734
"11119","113PS0100_08/25/09_1","39.31779075","-123.6264331",0.902471117,0.966952384,0.762962912,0.575677994,0.976139226,1.004758179
"11157","113PS0120_09/14/10_1","39.15087262","-123.6358056",0.745858554,0.778768992,0.764941001,0.792974826,1.269159248,0.869662179
