metric,comid,data_type,gageid,p50_obs,result_type,p50_pred,status_code,status,alteration_type,median_in_iqr,refgage
DS_Dur_WS,945030171,observed,09429160,26,predicted,178.9,-1,likely_altered,low,FALSE,Non-Ref
DS_Tim,945030171,observed,09429160,362,predicted,257.125,-1,likely_altered,late,FALSE,Non-Ref
DS_Mag_50,945030171,observed,09429160,0,predicted,3.28925811532109,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Mag_90,945030171,observed,09429160,1.4849999999999999,predicted,12.1265123290252,1,likely_unaltered,none_found,FALSE,Non-Ref
FA_Mag,945030171,observed,09429160,10.387857705072594,predicted,350.350440941388,-1,likely_altered,low,FALSE,Non-Ref
FA_Tim,945030171,observed,09429160,2,predicted,37.55,-1,likely_altered,early,FALSE,Non-Ref
SP_Dur,945030171,observed,09429160,48,predicted,121.4,1,likely_unaltered,none_found,FALSE,Non-Ref
SP_Mag,945030171,observed,09429160,20.05,predicted,1010.95910593948,-1,likely_altered,low,FALSE,Non-Ref
SP_Tim,945030171,observed,09429160,322.5,predicted,195.541666666667,-1,likely_altered,late,FALSE,Non-Ref
Wet_BFL_Dur,945030171,observed,09429160,53,predicted,148.275,0,indeterminate,low,FALSE,Non-Ref
DS_Dur_WS,10010658,observed,09429170,58,predicted,145.1125,-1,likely_altered,low,FALSE,Non-Ref
DS_Tim,10010658,observed,09429170,344.5,predicted,304,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Mag_50,10010658,observed,09429170,3.87,predicted,3842.30995683941,-1,likely_altered,low,FALSE,Non-Ref
DS_Mag_90,10010658,observed,09429170,12.380000000000003,predicted,7911.64252412335,-1,likely_altered,low,FALSE,Non-Ref
FA_Mag,10010658,observed,09429170,15.281918785793415,predicted,58974.8938042017,-1,likely_altered,low,FALSE,Non-Ref
FA_Tim,10010658,observed,09429170,3,predicted,22,1,likely_unaltered,none_found,FALSE,Non-Ref
SP_Dur,10010658,observed,09429170,79.5,predicted,90,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Mag,10010658,observed,09429170,21.45,predicted,251089.206718139,-1,likely_altered,low,FALSE,Non-Ref
SP_Tim,10010658,observed,09429170,278,predicted,211.5,1,likely_unaltered,none_found,FALSE,Non-Ref
Wet_BFL_Dur,10010658,observed,09429170,269,predicted,119.875,-1,likely_altered,high,FALSE,Non-Ref
DS_Dur_WS,10003808,observed,09429180,29,predicted,145,-1,likely_altered,low,FALSE,Non-Ref
DS_Tim,10003808,observed,09429180,328,predicted,304,1,likely_unaltered,none_found,TRUE,Non-Ref
DS_Mag_50,10003808,observed,09429180,22.3,predicted,3845.16587842413,-1,likely_altered,low,FALSE,Non-Ref
DS_Mag_90,10003808,observed,09429180,28.380000000000003,predicted,7844.67367830625,-1,likely_altered,low,FALSE,Non-Ref
FA_Mag,10003808,observed,09429180,46.81450130568885,predicted,59009.3829077087,-1,likely_altered,low,FALSE,Non-Ref
FA_Tim,10003808,observed,09429180,5.5,predicted,22,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Dur,10003808,observed,09429180,92,predicted,90,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Mag,10003808,observed,09429180,46.95,predicted,251236.0461795,-1,likely_altered,low,FALSE,Non-Ref
SP_Tim,10003808,observed,09429180,256,predicted,211.5,1,likely_unaltered,none_found,FALSE,Non-Ref
Wet_BFL_Dur,10003808,observed,09429180,222.5,predicted,120,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Dur_WS,10003830,observed,09429190,77,predicted,145,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Tim,10003830,observed,09429190,336,predicted,304,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Mag_50,10003830,observed,09429190,4.3,predicted,3845.70773631435,-1,likely_altered,low,FALSE,Non-Ref
DS_Mag_90,10003830,observed,09429190,7.803999999999999,predicted,7845.77914383445,-1,likely_altered,low,FALSE,Non-Ref
FA_Mag,10003830,observed,09429190,15.369434332544607,predicted,59183.3089183163,-1,likely_altered,low,FALSE,Non-Ref
FA_Tim,10003830,observed,09429190,3,predicted,22,1,likely_unaltered,none_found,FALSE,Non-Ref
SP_Dur,10003830,observed,09429190,81.5,predicted,90,0,indeterminate,unknown,TRUE,Non-Ref
SP_Mag,10003830,observed,09429190,26,predicted,251543.307766107,-1,likely_altered,low,FALSE,Non-Ref
SP_Tim,10003830,observed,09429190,259,predicted,211.5,1,likely_unaltered,none_found,FALSE,Non-Ref
Wet_BFL_Dur,10003830,observed,09429190,265,predicted,120,-1,likely_altered,high,FALSE,Non-Ref
DS_Dur_WS,10002408,observed,09429230,50,predicted,182,-1,likely_altered,low,FALSE,Non-Ref
DS_Tim,10002408,observed,09429230,328,predicted,254.2,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Mag_50,10002408,observed,09429230,11.5,predicted,3.63462767469569,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Mag_90,10002408,observed,09429230,23.485000000000003,predicted,15.1658480734493,1,likely_unaltered,none_found,TRUE,Non-Ref
FA_Mag,10002408,observed,09429230,30.240086287654773,predicted,448.236605038686,-1,likely_altered,low,FALSE,Non-Ref
FA_Tim,10002408,observed,09429230,4,predicted,37.8875,-1,likely_altered,early,FALSE,Non-Ref
SP_Dur,10002408,observed,09429230,90.5,predicted,120,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Mag,10002408,observed,09429230,30.35,predicted,1285.2895651082,-1,likely_altered,low,FALSE,Non-Ref
SP_Tim,10002408,observed,09429230,239,predicted,197.416666666667,1,likely_unaltered,none_found,TRUE,Non-Ref
Wet_BFL_Dur,10002408,observed,09429230,240.5,predicted,147.125,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Dur_WS,10005008,observed,09429490,72,predicted,179.5,-1,likely_altered,low,FALSE,Non-Ref
DS_Tim,10005008,observed,09429490,342,predicted,252,-1,likely_altered,late,FALSE,Non-Ref
DS_Mag_50,10005008,observed,09429490,10550,predicted,0.00314344313758319,-1,likely_altered,high,FALSE,Non-Ref
DS_Mag_90,10005008,observed,09429490,13100,predicted,0.0109151775077436,-1,likely_altered,high,FALSE,Non-Ref
SP_Dur,10005008,observed,09429490,102,predicted,121.416666666667,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Mag,10005008,observed,09429490,11900,predicted,1.53886109125566,-1,likely_altered,high,FALSE,Non-Ref
SP_Tim,10005008,observed,09429490,240,predicted,197.916666666667,1,likely_unaltered,none_found,TRUE,Non-Ref
Wet_BFL_Dur,10005008,observed,09429490,191,predicted,144.033333333334,1,likely_unaltered,none_found,TRUE,Non-Ref
DS_Dur_WS,21412675,observed,09429600,69,predicted,144.366666666667,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Tim,21412675,observed,09429600,340,predicted,303.541666666667,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Mag_50,21412675,observed,09429600,397.5,predicted,3805.05938753006,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Mag_90,21412675,observed,09429600,564.9000000000001,predicted,7769.32887108244,-1,likely_altered,low,FALSE,Non-Ref
FA_Mag,21412675,observed,09429600,803.9338981133836,predicted,58838.0505717136,-1,likely_altered,low,FALSE,Non-Ref
FA_Tim,21412675,observed,09429600,15,predicted,21.9,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Dur,21412675,observed,09429600,62,predicted,90.05,0,indeterminate,low,FALSE,Non-Ref
SP_Mag,21412675,observed,09429600,2490,predicted,255037.773282817,-1,likely_altered,low,FALSE,Non-Ref
SP_Tim,21412675,observed,09429600,264,predicted,210.45,1,likely_unaltered,none_found,FALSE,Non-Ref
Wet_BFL_Dur,21412675,observed,09429600,173,predicted,119.875,0,indeterminate,unknown,TRUE,Non-Ref
DS_Dur_WS,21411847,observed,09529600,52,predicted,176.75,-1,likely_altered,low,FALSE,Non-Ref
DS_Tim,21411847,observed,09529600,340,predicted,260,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Mag_50,21411847,observed,09529600,2.4,predicted,0.019676865765351,-1,likely_altered,high,FALSE,Non-Ref
DS_Mag_90,21411847,observed,09529600,2.4,predicted,0.0905119949123311,-1,likely_altered,high,FALSE,Non-Ref
SP_Dur,21411847,observed,09529600,93.5,predicted,129.4,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Mag,21411847,observed,09529600,3.2,predicted,9.63273766976413,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Tim,21411847,observed,09529600,247,predicted,198.875,1,likely_unaltered,none_found,TRUE,Non-Ref
Wet_BFL_Dur,21411847,observed,09529600,208,predicted,146,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Dur_WS,21411963,observed,09529700,73,predicted,176,-1,likely_altered,low,FALSE,Non-Ref
DS_Tim,21411963,observed,09529700,319,predicted,260.9,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Mag_50,21411963,observed,09529700,20.5,predicted,0.160792290307679,-1,likely_altered,high,FALSE,Non-Ref
DS_Mag_90,21411963,observed,09529700,22,predicted,0.600428192136484,-1,likely_altered,high,FALSE,Non-Ref
SP_Dur,21411963,observed,09529700,69,predicted,128.183333333334,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Mag,21411963,observed,09529700,22,predicted,74.9902787705505,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Tim,21411963,observed,09529700,235,predicted,199.733333333334,1,likely_unaltered,none_found,TRUE,Non-Ref
Wet_BFL_Dur,21411963,observed,09529700,215,predicted,148.3875,0,indeterminate,high,FALSE,Non-Ref
DS_Dur_WS,21412601,observed,09529800,70,predicted,180.0625,-1,likely_altered,low,FALSE,Non-Ref
DS_Tim,21412601,observed,09529800,311,predicted,257.041666666667,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Mag_50,21412601,observed,09529800,0.8,predicted,0.00738113911990688,-1,likely_altered,high,FALSE,Non-Ref
