gageid,comid,n
09423350,10017314,8
09424150,21439475,8
09427520,9998136,8
09429100,10010646,10
09429160,945030171,8
09429170,10010658,8
09429180,10003808,8
09429190,10003830,8
09429230,10002408,8
09429490,10005008,10
09429600,21412675,8
09529600,21411847,10
09529700,21411963,10
09529800,21412601,8
09529900,21412059,10
09530000,21412135,8
10254670,22599625,10
10254730,22598685,10
10254970,22603541,10
10255550,22599619,10
10255885,22598811,10
10257499,22591931,5
10259050,948100388,3
10260620,22660237,8
10260630,22660237,8
10260650,22660087,8
10261500,948090919,8
10262000,948090834,10
10263000,948091323,8
10265150,20273931,8
10270680,20278001,2
10270900,20277787,8
10287145,20286396,8
10287195,20286396,8
10287281,20287684,2
10290500,8915935,8
10293000,8915857,8
10296000,10744424,8
10296500,946050152,8
103087889,8922717,10
10308789,8922717,8
10308792,8922665,8
10308794,8922665,8
10310300,8922335,10
103366092,8943677,8
10336610,8944439,8
10336626,8943577,8
10336674,8941685,8
10336775,8944479,8
10337500,8934074,8
10338000,8933958,8
10338500,8933876,8
10338700,8933890,8
10343000,8933376,8
10344400,8933494,8
10344500,8933684,8
10344505,8933706,8
10346000,8933532,8
11012500,20326431,10
11013000,20326435,10
11016200,948070230,4
11042631,22549093,5
11042900,948070502,11
11046250,20351625,3
11046360,20350869,3
11048400,20357218,8
11055350,22555914,8
11070210,22534640,5
11070465,22532978,4
11073493,22556262,8
11121000,17612503,2
11122010,17610919,5
11148500,17647991,2
11152500,8200523,8
11157500,17663791,8
11162720,2804039,8
11162800,2809149,8
11174000,2806745,2
11182030,1671927,8
11202838,14930957,8
11216050,22050443,8
11221500,17149774,8
11229500,17119593,8
11235500,17116171,8
11238270,17116227,10
11243300,17116151,8
11243500,17115319,8
11244000,17115319,8
11244100,17115319,8
11246570,17116229,8
11267350,948040318,8
11274550,2828044,8
11292900,343205,8
11292901,343205,8
11293580,346319,8
11298650,343523,2
11313000,1894476,8
11316605,17055724,2
11325000,3953371,8
11358700,7952820,2
11362700,7951770,8
11372325,2764310,10
11376000,4296241,8
11396329,24689339,8
11396330,948020193,14
11400200,2773562,2
11404100,2775536,8
11406810,24689339,9
11406848,7968111,8
11406849,7968111,8
11406850,7968111,8
11406910,1682827,8
11414190,15014869,8
11414194,15014869,8
11414195,15014869,8
11414196,15014869,8
11414205,8064183,3
11414700,8063383,10
11416100,8063993,8
11417500,8060893,8
11420770,7981848,8
11421710,15014823,8
11421725,15014871,8
11421760,15014869,8
11421770,15014869,8
11425310,15009507,8
11425416,14996597,8
11426000,15039097,5
11429340,14993719,8
11434500,8943685,12
11437500,14982844,5
11440900,14986576,8
11441800,14983592,2
11442700,14982148,2
