stream_class,gage,stat,year,data,maxYr,minYr,YrRange
Class-3,11154700,Avg,1994,1.0587397260273972,2016,1994,22
Class-3,11195500,Avg,1960,0.8718579234972679,1981,1960,21
Class-3,11196400,Avg,1962,2.4027397260273977,1983,1962,21
Class-3,11203580,Avg,2001,8.98082191780822,2015,2001,14
Class-3,11204100,Avg,2001,15.769506849315068,2015,2001,14
Class-3,11208500,Avg,1968,0.16636612021857924,1973,1968,5
Class-3,11209900,Avg,1959,180.67945205479452,1990,1959,31
Class-3,11220000,Avg,1954,32.22767123287671,1973,1954,19
Class-3,11268000,Avg,1952,611.9207650273224,1976,1952,24
Class-3,11281000,Avg,1951,127.93068493150685,2002,1951,51
Class-3,11282000,Avg,1951,106.22575342465751,2002,1951,51
Class-3,11283500,Avg,1960,125.17185792349727,1995,1960,35
Class-3,11294500,Avg,1951,639.7945205479452,1989,1951,38
Class-3,11315000,Avg,1951,99.58164383561645,2015,1951,64
Class-3,11316800,Avg,1961,5.810136986301369,2016,1961,55
Class-3,11318500,Avg,1951,139.49890410958906,2016,1951,65
Class-3,11341400,Avg,1960,175.60928961748633,1987,1960,27
Class-3,11376500,Avg,1951,443.81369863013697,1960,1951,9
Class-3,11394500,Avg,1952,2755.6967213114754,1986,1952,34
Class-3,11400000,Avg,1951,88.38356164383562,1964,1951,13
Class-3,11408850,Avg,1968,195.724043715847,1981,1968,13
Class-3,11409300,Avg,1968,47.38579234972678,2000,1968,32
Class-3,11409500,Avg,1951,133.85506849315067,1970,1951,19
Class-3,11413100,Avg,1969,1652.9917808219177,1987,1969,18
Class-3,11413320,Avg,1995,7.629589041095891,2015,1995,20
Class-3,11414000,Avg,1951,275.34794520547945,1981,1951,30
Class-3,11426150,Avg,1960,5.48087431693989,1980,1960,20
Class-3,11427700,Avg,1961,16.109863013698632,2015,1961,54
Class-3,11433260,Avg,1966,121.46849315068494,1985,1966,19
Class-3,11433300,Avg,1959,590.5068493150685,1967,1959,8
Class-3,11433500,Avg,1951,NaN,1965,1951,14
Class-3,11445500,Avg,1952,2165.658469945355,1960,1952,8
Class-3,11472900,Avg,1959,171.31616438356164,2005,1959,46
Class-3,11480390,Avg,1981,130.97712328767122,2015,1981,34
Class-3,11522500,Avg,1951,2485.0602739726028,2015,1951,64
Class-3,11523200,Avg,1958,757.1424657534246,2015,1958,57
Class-3,11525500,Avg,1951,2223.73698630137,1961,1951,10
Class-3,11526500,Avg,1958,778.8219178082192,2015,1958,57
Class-3,11527400,Avg,1960,305.9726775956284,1969,1960,9
Class-4,11154100,Avg,1960,2.255191256830601,1982,1960,22
Class-4,11390672,Avg,1959,2.8498630136986303,1985,1959,26
Class-4,11396400,Avg,1966,12.402191780821918,1987,1966,21
Class-4,11413323,Avg,1995,5.843561643835617,2015,1995,20
Class-4,11457000,Avg,1952,35.72185792349727,1966,1952,14
Class-4,11458300,Avg,1971,14.264383561643832,1980,1971,9
Class-4,11467200,Avg,1960,153.49289617486338,2015,1960,55
Class-4,11467500,Avg,1951,471.6093150684931,1994,1951,43
Class-4,11467600,Avg,1963,348.2739726027397,1983,1963,20
Class-4,11468000,Avg,1951,619.5065753424658,2014,1951,63
Class-4,11468500,Avg,1952,328.15273224043716,2015,1952,63
Class-4,11468600,Avg,1965,122.34684931506848,1974,1965,9
Class-4,11468900,Avg,2002,390.9235616438356,2015,2002,13
Class-4,11472160,Avg,2004,7.553579234972677,2012,2004,8
Class-4,11473900,Avg,1966,1467.4575342465753,2015,1966,49
Class-4,11474500,Avg,1954,706.8520547945205,2005,1954,51
Class-4,11475500,Avg,1951,223.76191780821918,1970,1951,19
Class-4,11475560,Avg,1968,19.470191256830603,2015,1968,47
Class-4,11475800,Avg,1966,768.5780821917808,2015,1966,49
Class-4,11476500,Avg,1951,2422.6301369863013,1981,1951,30
Class-4,11476600,Avg,1961,124.19945205479453,2015,1961,54
Class-4,11477000,Avg,1951,9638.169863013698,1971,1951,20
Class-4,11477500,Avg,1954,403.3298630136986,1974,1954,20
Class-4,11478500,Avg,1951,1008.632602739726,2015,1951,64
Class-4,11481200,Avg,1956,197.75355191256833,2015,1956,59
Class-4,11481500,Avg,1954,274.832602739726,2015,1954,61
Class-4,11482110,Avg,1981,44.52515068493151,1992,1981,11
Class-4,11482120,Avg,1981,322.0572602739726,1990,1981,9
Class-4,11482125,Avg,1980,27.854754098360655,1989,1980,9
Class-4,11482200,Avg,1971,909.1115068493151,1982,1971,11
Class-4,11482500,Avg,1954,1249.228021978022,2015,1954,61
Class-4,11529000,Avg,1951,2098.5150684931505,1968,1951,17
Class-4,11532000,Avg,1955,1180.9725274725274,1979,1955,24
Class-4,11532500,Avg,1951,5423.13698630137,2015,1951,64
Class-5,11377100,Avg,1892,10304.890710382513,1943,1892,51
Class-6,11110500,Avg,1951,0.1928767123287671,1983,1951,32
Class-6,11115500,Avg,1951,2.1265753424657534,1981,1951,30
Class-6,11117600,Avg,1959,1.3243835616438355,1988,1959,29
Class-6,11117800,Avg,1959,1.1556164383561645,1981,1959,22
Class-6,11120500,Avg,1951,0.08794520547945206,2015,1951,64
Class-6,11124500,Avg,1951,0.46958904109589034,2015,1951,64
Class-6,11128400,Avg,1955,0.9019178082191782,1970,1955,15
Class-6,11141150,Avg,1968,1.355245901639344,1992,1968,24
Class-6,11141280,Avg,1968,4.280327868852459,2015,1968,47
Class-6,11143000,Avg,1951,95.56027397260274,2015,1951,64
Class-6,11143500,Avg,1951,1.7698630136986302,1983,1951,32
Class-6,11148900,Avg,1972,49.56568306010929,2015,1972,43
Class-6,11151300,Avg,1959,5.695068493150686,2015,1959,56
Class-6,11151870,Avg,1962,130.86767123287672,2015,1962,53
Class-6,11152900,Avg,1962,3.838630136986301,1982,1962,20
Class-6,11153470,Avg,1972,1.613688524590164,2010,1972,38
Class-6,11153900,Avg,1962,23.065753424657533,1982,1962,20
Class-6,11156500,Avg,1951,2.232876712328767,1961,1951,10
Class-6,11159690,Avg,1972,1.6889344262295085,1985,1972,13
Class-6,11160000,Avg,1952,93.26639344262296,2015,1952,63
Class-6,11160020,Avg,1969,12.937150684931508,1993,1969,24
Class-6,11160070,Avg,1977,1.2032602739726028,1988,1977,11
Class-6,11160300,Avg,1958,24.5186301369863,1993,1958,35
Class-6,11160500,Avg,1951,182.2367123287671,2015,1951,64
Class-6,11162500,Avg,1952,92.1948087431694,2015,1952,63
Class-6,11162540,Avg,1963,27.619999999999997,1975,1963,12
Class-6,11162570,Avg,1970,39.764,2015,1970,45
Class-6,11169800,Avg,1961,1.59013698630137,2015,1961,54
Class-6,11180500,Avg,1960,0.6371584699453552,2016,1960,56
Class-6,11180825,Avg,1981,1.505095890410959,1999,1981,18
Class-6,11180960,Avg,1979,2.525287671232877,2015,1979,36
Class-6,11181000,Avg,1951,30.75287671232877,1966,1951,15
Class-6,11181390,Avg,1976,0.4334972677595628,1986,1976,10
Class-6,11182100,Avg,1951,3.9534794520547947,1977,1951,26
Class-6,11182500,Avg,1953,2.696986301369863,2016,1953,63
Class-6,11183000,Avg,1953,10.96958904109589,1965,1953,12
Class-6,11197250,Avg,1962,3.4295890410958907,1986,1962,24
