,OoverE.d,MMI.d,OoverE.sba,MMI.sba,OoverE.hybrid,MMI.hybrid
102PS0177_08/28/12_1,0.958051213,1.139708239,1.085374484,1.088383094,0.871972718,1.040264127
103CDCHHR_09/14/10_1,1.128167728,0.844592347,0.487265428,1.000676724,0.857890349,0.835674737
103KLCMSR_09/14/10_1,1.118998005,0.75238262,0.773939722,1.11761855,1.007278439,0.986420881
103WER026_08/15/12_1,0.843212749,1.138159419,1.547740336,1.204011196,1.047571661,1.196320206
105BVCAGC_09/21/10_1,0.711145677,0.997404696,1.148444844,1.200430788,0.775213612,0.99606621
105CLCATC_08/10/10_1,0.974053479,1.138084534,0.645766164,0.826283792,0.931764927,1.051693761
105DLCDCC_10/20/09_1,0.961947141,0.904009445,0.777943908,1.204754841,0.938327473,0.974947254
105FCA116_07/16/13_1,0.704081949,1.043439398,0.494819376,1.111651204,0.662891943,0.95237155
105FS0416_09/24/13_1,1.295955142,1.011710933,1.546379698,0.911108919,1.112748984,0.963636888
105FS0425_08/10/11_1,0.626080035,1.109034075,1.224648483,1.010237816,0.773366773,1.124633008
105FS0428_08/03/11_1,0.951888415,1.043717395,0.890621609,1.238479182,0.853919243,1.037939087
105NWC151_06/26/13_1,1.235225668,1.154159173,1.313956558,0.729597089,1.324706682,0.974416853
105PS0043_09/17/08_1,1.005634981,0.970779691,1.15531902,1.085883326,0.939629944,0.998391395
105PS0083_09/08/09_1,1.279451635,1.224661144,1.044684606,1.080910537,1.097272473,1.030122289
105PS0154_08/09/11_1,1.110264243,0.942191703,1.116377029,1.078002635,1.041611783,1.086797375
105PS0195_08/07/12_1,0.952911594,1.15125102,1.431669194,1.204011196,1.121938225,1.151821474
105PS0259_09/17/13_1,1.099852679,1.059652105,1.156988196,1.250369305,0.981922809,1.028745674
105PS0267_07/21/14_1,1.139564275,1.098456645,1.264034797,1.088383094,1.127966629,0.96968133
105PS0468_09/01/09_1,0.640717053,1.023846794,1.431026266,0.829324995,1.034733247,1.107540772
105PS0660_08/03/10_1,1.031038547,0.911306605,1.237920009,0.787935515,1.20293717,0.947837132
105TMCACC_08/10/10_1,0.911104404,0.99214051,1.028460543,1.250369305,0.858779497,1.106203913
105WLC135_06/26/13_1,1.142986637,1.097582366,1.294828787,0.743503111,1.177448889,1.010960753
105WLCABC_08/03/11_1,0.895368484,0.897457116,1.188058794,1.133414104,0.836615245,0.95405184
106FS0040_08/30/11_1,0.783163546,0.883610863,1.209366442,1.077926864,0.930806294,0.877678013
106PS0115_09/21/10_1,0.958559724,1.059652355,1.328354613,1.07084182,1.073565423,0.913198308
106PS0124_08/16/10_1,0.987683017,0.929196715,1.093585266,1.115629435,1.007595178,0.976850292
106PS0166_08/02/11_1,1.009781037,1.03586099,0.905278656,1.000676724,0.929944177,1.060523147
106WE1079_08/08/12_1,1.091873077,0.946946142,1.341020613,0.979739554,1.268222945,1.021789794
106WER016_10/20/09_1,1.030922367,1.222102904,1.139589108,1.182067671,1.14784882,1.054832502
107LLM101_09/13/10_1,1.217678052,1.149218318,0.766321885,1.111651204,1.095930775,1.003870445
107WER092_08/27/12_1,1.121909028,0.818891936,1.072702239,1.143358199,1.135801126,0.923331242
111BBRBCC_09/23/09_1,0.821418323,1.144322419,0.19241208,0.65551139,0.655049881,1.027965512
111CBCAER_08/08/13_1,1.137761231,1.170846248,1.342148346,1.025172518,1.172621568,0.998237333
111ERATRC_10/10/12_1,0.937448945,1.217204664,1.144226581,0.990127946,1.004687385,1.068540093
111FS0001_07/05/11_1,0.90915569,1.032754367,1.025786164,1.054658754,0.898403327,1.033878528
111FS0007_07/11/11_1,0.909641051,1.09388701,0.651650431,1.166706448,0.872903265,1.063840258
111FS0008_07/19/12_1,1.081547147,1.308904573,1.197399027,1.047186197,1.145706486,1.125237623
111HSCAER_07/26/11_1,1.116577169,0.918352955,1.033004394,1.115629435,1.212656695,0.96464983
