,OoverE.d,MMI.d,OoverE.sba,MMI.sba,OoverE.hybrid,MMI.hybrid
111PAL105_07/13/11_1,0.910536514,1.185407374,0.856072346,1.109633858,0.823435528,1.040738655
111PS0060_10/07/08_1,1.087023267,0.80389028,0.969518509,0.963345969,1.140619467,0.988281549
111PS0144_08/18/10_1,1.17036848,0.931137358,1.180766919,1.137426508,1.259719613,0.951625418
111PS0160_07/25/11_1,1.082067132,0.917747427,1.015652277,1.200430788,1.05708047,0.986676926
111PS0204_08/17/10_1,0.987310301,1.055466787,0.942450337,1.200430788,0.935414781,1.070715999
111RSCAER_08/08/11_1,1.061640363,1.008336142,0.604613537,0.907604283,0.899321694,0.993008679
111TGCAER_07/24/12_1,1.211744363,1.024753788,0.848440245,1.040697887,1.14952819,0.993892878
111WE1050_06/12/13_1,0.898603651,1.124758488,0.936995675,1.107019872,1.069523942,1.151427643
111WE1071_07/26/12_1,1.129051524,0.99847615,1.639554797,1.097983858,1.414497434,1.111293877
111WER008_07/23/12_1,1.12779353,1.083940097,0.903684672,1.171613954,1.027540289,1.074012981
111WER159_10/19/09_1,0.849883495,1.130047953,0.762677027,1.111651204,0.828131823,0.997720004
113RG8046_08/19/10_1,0.9223928,0.957321603,1.419646422,0.779266558,1.072236469,0.980415508
114CE0131_07/31/12_1,1.054378983,1.158455482,1.35293445,0.615335584,1.357668568,0.879187866
114WE0614_07/09/12_1,0.983219829,1.096107558,1.480979212,0.700979784,1.294540483,0.839172281
115EBAG01_07/01/10_1,0.933990181,0.88230781,0.959809112,0.847641533,0.996788446,0.935704203
201CHE300_06/18/12_1,1.11602462,0.98932894,0.990886563,1.040697887,1.110428794,0.92116032
201LAG335_07/15/09_1,0.952066846,0.932258368,1.221136309,0.975903403,0.908469425,1.049148794
201MRS020_09/13/10_1,1.0944493,1.041557283,1.464514154,1.200430788,1.20696556,1.003680703
202BUT030_06/29/10_1,1.101379097,1.008445653,0.97013166,0.889702244,0.853744347,0.892456771
202BUT050_06/16/09_1,0.686647224,0.570874116,NA,0.834215004,0.581641028,0.830487234
202BUT480_06/25/12_1,0.813377654,0.990741074,1.217698745,0.966952384,0.909385367,1.156765072
202BUT600_06/26/12_1,0.942922912,1.031734419,1.220721251,0.774359135,0.898452557,1.098381959
202DRY010_06/05/13_1,0.953666413,0.830472318,NA,0.834215004,0.89850005,1.028439682
202R00024_06/06/12_1,1.095769852,0.81457341,0,0.963091523,0.967800304,0.92532626
202R00280_05/22/13_1,1.099589432,0.846889936,0.606154715,1.000676724,0.936481867,0.985767288
202SPE090_06/15/09_1,1.013907933,1.037539625,1.417456042,1.109633858,1.208705895,0.930822735
204ALA500_06/10/13_1,1.086169807,1.160607189,1.054298382,0.685120807,1.115059584,0.923352229
204ARH090_06/02/14_1,1.238999533,1.062163484,0.799809729,0.787010639,1.089714609,0.933983576
204IND200_05/25/10_1,1.121871131,0.83755692,0.602575654,1.132718431,1.091515664,1.007527775
204R00189_05/06/13_1,0.856183302,1.076133488,0.274767233,1.120602224,0.647941568,0.935398501
204VAL400_05/19/14_1,1.204199259,1.135748824,0.977513908,0.951918303,1.254680136,1.054245194
205AAG075_06/12/13_1,0.987519196,0.971267766,NA,0.834215004,0.714024445,0.945085712
205AAG375_05/14/14_1,1.083894497,1.045447948,1.318844408,0.969053122,1.105360846,1.070529679
205AAG400_06/05/12_1,0.97167024,0.868968293,1.361646012,1.019627744,1.07440499,1.062601266
205COY610_06/03/10_1,1.012135143,0.862348011,0.95352128,0.792055022,0.91205623,1.002930633
205COY615_06/03/14_1,1.064814643,0.978883892,1.291070302,0.690938628,1.195405036,0.832996698
205COY850_05/21/12_1,1.058610032,1.086115809,1.59962986,0.911825,1.301000334,1.024372943
205COY900_05/16/12_1,1.004926793,0.892056189,1.116160282,0.754994102,0.943270162,0.921586112
205COY930_05/07/13_1,0.972800767,0.952354915,0.980536442,1.152104364,1.081728567,1.115204098
205CYCAHH_06/10/08_1,1.086001117,0.916300659,0.769605377,0.977693607,0.875997446,0.942267088
205CYCBBC_06/28/10_1,0.823893032,1.377283477,1.292356842,0.930900346,0.925639584,1.17763636
205LGA700_05/23/12_1,1.081565806,0.977065011,0.289952233,1.000676724,0.974368954,1.041493296
205R00021_05/16/12_1,1.135196006,0.97288703,0,0.796629802,0.837723141,1.017700871
205R00182_05/07/13_1,1.097540633,0.915141445,0.477676047,0.645963636,1.005369686,0.900130954
205SFC880_06/19/12_1,0.878986819,1.101208342,0.47899327,0.867912596,0.944334864,0.918074248
205WUN450_06/11/12_1,1.095895507,1.088520506,1.220819364,0.774359135,1.166842812,1.062752822
205WUN550_05/06/13_1,0.679928661,0.788107882,0.607460349,1.278112925,0.678803744,1.054426474
206HCT020_05/29/12_1,1.050473872,1.122936409,1.423433814,1.054658754,1.228100259,1.081892929
206RCCBDC_07/20/10_1,0.71501307,0.802065804,0.764463051,0.756938116,0.797868633,0.85118129
206TUL120_06/13/11_1,1.07691192,1.035898034,1.215876968,0.888197033,1.066391498,1.099086506
207GVC800_05/23/13_1,1.031971392,0.807739045,1.421262716,1.077926864,1.158582037,0.920040523
207SUI290_06/04/12_1,1.084518669,0.824577126,0.387286677,0.622682151,0.957832638,0.926146392
207SUI800_05/05/14_1,1.133706443,0.604914359,0.959901881,0.960196817,1.105364622,0.871589654
304WDCAH1_06/29/10_1,1.163553474,1.158732917,0.227594318,0.519193602,0.732989558,0.936728262
305LGCACR_07/16/08_1,1.189303694,0.903221903,1.577724987,0.834808159,1.298951512,0.947361438
305LGCBRC_06/30/10_1,1.070890383,1.063027767,1.199887164,0.941895583,1.033120344,0.905319156
305SSCAUC_06/29/10_1,0.956458713,0.934926177,0.610645,0.975903403,0.889686108,0.849622783
305UVCASC_06/29/10_1,1.000753974,1.194023487,1.21582924,1.204754841,1.10247535,1.097657558
307CE0094_06/12/12_1,1.18404701,1.042350894,0.979673329,0.954140503,1.220633275,1.120470996
307SCCARR_06/21/10_1,1.038699519,0.984481256,NA,1.000676724,1.005194296,0.924510059
308BSU_07/13/10_1,1.088985565,0.839734942,0.619725763,1.05016987,0.936814768,0.851458025
308LSRASC_07/18/11_1,0.845787608,0.92684634,0.510239268,1.054658754,0.766327851,1.005856421
308MWCAH1_06/23/10_1,0.901408635,0.754896842,NA,0.834215004,0.800006436,0.86974071
308PS0156_06/19/12_1,1.183176337,0.911338362,0.610996055,1.111651204,1.175611009,0.939402088
308PWCAH1_06/22/10_1,1.124115159,1.04902316,1.219033745,1.041646448,1.188478298,1.057001719
308ROCBBQ_06/21/12_1,1.00076518,1.13702624,0,1.278112925,0.840954119,1.095864139
308SAM_06/23/10_1,1.206012037,1.311861604,0.797045302,0.975903403,1.172465466,1.08260369
309ARCBRC_08/25/08_1,0.806583218,1.181871291,0.822846471,0.948429889,0.858131052,1.059357833
309ARSARC_06/23/10_1,1.108985492,0.869028915,1.208905079,1.250369305,1.207930663,1.022216424
309NAF_05/24/12_1,1.095139342,1.241339924,1.115070914,1.222625684,1.168259341,1.026835359
309PS0116_06/16/11_1,0.937126362,1.237192297,0.990465064,1.01587857,0.959786703,1.092244323
309WLCATC_06/22/10_1,0.870214549,0.849994878,0.607182298,1.058466952,0.913156329,1.037317687
310LPCBPC_06/09/09_1,1.189796178,1.247539956,0.474899621,1.11761855,1.086716959,1.044141357
312DAVDAV_06/07/12_1,1.009336701,1.06318258,1.203107321,1.167138444,1.149253686,0.98893266
312PS0099_06/14/10_1,1.018509974,1.009153094,0.83661048,0.97291973,0.736072166,0.873365164
315CHCALS_06/15/10_1,0.902486803,0.354117298,1.2179644,0.775717343,0.869532321,0.664519678
402BA0287_06/09/08_1,1.007473845,1.159276322,0.863710446,1.001081972,0.972939209,1.041107413
402M00005_06/11/15_1,1.040131223,1.011306127,1.254969383,0.851111984,1.295172409,0.940171542
402M00009_06/29/15_1,1.266842668,1.171554673,NA,NA,1.003304916,1.058636856
402MTCUNF_06/05/12_1,1.085434026,1.25822551,0.107669995,0.867912596,0.67667917,1.032991373
403BA0015_05/19/08_1,0.708062803,1.070117084,1.187250409,0.805578784,0.885771249,1.047860545
403BA0064_06/18/14_1,0.549203439,0.67848202,0.868125092,0.938342912,0.73370288,0.884130518
403BA0140_05/21/08_1,0.799056761,0.585980309,0.67274044,1.01090646,0.841284444,0.855619358
403BA0171_05/19/08_1,1.189650644,1.012949762,0.607898391,0.926383509,1.229232681,0.955743308
403LNCASC_06/15/10_1,0.822023016,1.007021238,1.298852466,1.082616172,0.947815786,1.145329289
403S00875_06/24/10_1,1.010426314,1.003828606,1.169781184,0.997665646,1.104153841,0.983448568
403S00960_06/02/10_1,1.041261082,0.892322629,1.704674889,1.055909518,1.020050058,1.037534796
403S01536_07/12/11_1,1.005991532,0.842663592,0.286178475,0.867912596,0.889037112,0.743196907
403S01883_06/21/10_1,0.727924954,0.699335177,0.573252653,1.019627744,0.843647953,0.945507401
403S03643_06/24/10_1,1.260363557,1.002062737,0.863789554,0.864730382,1.165178002,0.861870387
403S06315_06/27/12_1,0.929092088,1.012932012,1.072896934,0.957124176,1.094068671,1.122775839
403STC064_06/08/11_1,1.275435106,1.070656887,1.338571105,1.080910537,1.247393032,1.136691789
403WE0501_05/14/13_1,1.165356698,1.1187368,1.116359291,0.940900346,1.354478893,0.970296891
403WE0683_05/15/13_1,0.916583243,1.227474652,NA,NA,0.612676355,1.075745839
405BRCAMS_06/07/11_1,1.119250859,0.668908039,1.050931089,1.074422228,1.191027959,0.928573404
405SGRAAG_05/28/08_1,0.732328267,1.093849941,0.745811563,1.204754841,0.722275174,1.043243758
504DCFRxx_07/27/10_1,0.434327027,1.125092403,1.106189692,0.808082361,0.710198834,0.960929103
504PS0227_08/12/09_1,1.180266489,1.06213807,1.054297558,0.922234968,1.09470829,0.930189536
504WE0527_07/02/13_1,1.225410646,0.995110818,1.274737638,0.881134124,1.426278834,1.078887631
505LBCAMR_08/07/13_1,0.773653467,0.926337318,1.028093009,0.966952384,0.855180582,0.854130084
505PS0110_09/16/10_1,0.894854841,0.875041924,0.93848159,1.009627743,0.92786972,0.946441081
505PS0174_09/27/11_1,0.990479916,1.030891012,0.962616218,1.02840697,0.978364056,1.011982179
506PS0062_09/15/08_1,0.858176247,0.915348326,0.942194203,1.067261412,0.86171796,0.863167465
509ACSFPP_07/16/08_1,0.904495235,0.970326439,1.120721493,1.107282576,0.912929774,1.058643513
509ATCINC_07/14/08_1,1.153141081,0.987591492,0.977618117,1.137889614,0.98792718,0.934514906
509BSCADC_08/31/11_1,0.917854739,0.773932881,1.484140322,1.19089046,1.132139125,1.128850191
509CBCADC_08/24/10_1,0.905533373,0.978764813,1.086865155,1.11761855,0.874561256,0.974802611
509CWCPLR_07/07/08_1,1.158701191,0.954509771,1.426417731,0.930621519,1.327444074,0.971658008
509FCA054_08/27/13_1,1.102760039,1.10734539,1.701132903,1.03592401,1.252552441,0.95745259
509MLC145_08/06/13_1,1.026974688,0.786026379,0.900238446,1.137889614,0.999844018,0.817845148
509PCDTWR_09/03/08_1,1.17920855,0.943268219,0.720458317,1.000824359,1.208120221,1.017028369
509PS0085_09/07/11_1,1.267707857,0.900967284,0.214023474,1.000676724,0.942475391,0.947713111
509PS0170_07/26/10_1,1.015575421,0.88961071,1.060635969,1.173105791,0.919731795,1.081647428
509PS0334_09/12/12_1,1.056402759,1.113649851,1.688002796,0.923330056,1.321580292,1.044976627
513BTCACC_09/10/08_1,1.017948056,0.945321141,1.299979724,0.926448115,1.064410254,0.943350748
513PS0008_09/01/10_1,1.180750667,0.914898458,0.869180631,0.966952384,0.969599062,0.803061105
513PS0200_07/30/12_1,0.706093709,1.119807069,0.943185578,0.436060102,0.976605686,0.864985957
513UNCAKC_09/23/09_1,0.943601591,1.13614947,0.673936627,0.912727025,0.91178577,0.968186464
514BMCARC_09/27/11_1,0.535720934,1.383941901,0.940947436,1.167138444,0.702678744,1.011358538
514BRUUPX_10/09/08_1,0.952509342,1.047235874,1.168471811,1.08508768,0.939299377,1.068481801
514LNCASC_08/30/11_1,0.715555389,0.983453424,0.76685111,1.092858604,0.858619635,1.139500835
514PS0131_07/28/14_1,1.033795827,1.074574489,0.855273797,1.137426508,1.070245536,0.985614414
514SBCAMR_08/29/11_1,1.082800273,1.081710223,0.890191331,1.081905095,1.094335816,1.042551871
514SCCAAR_07/24/08_1,1.142160025,1.092863672,0.975296865,1.064259518,1.095916542,0.973561844
517FCA046_08/14/13_1,1.043511151,0.79167254,1.39733281,0.867912596,1.233275972,0.926261931
517LCCAYB_08/12/08_1,1.081157249,1.020888606,0.635891299,0.830894231,1.076181546,0.919725479
517PS0054_07/28/10_1,0.859840326,1.287887881,0.677300337,1.067261412,0.768787413,1.126145497
517PS0074_09/20/11_1,1.071308292,0.962060465,0.809965427,1.014998355,1.063636781,1.04861427
518BTCASC_06/12/13_1,0.970701584,0.888251771,1.006010995,1.11761855,1.041974045,0.87411564
518FCA075_08/12/13_1,1.017170665,1.174347038,0.82854813,1.200430788,0.930801528,1.126413661
518PS0073_08/16/11_1,1.099636369,0.882503117,0.524675176,1.222625684,0.758202184,0.967900978
518PS0093_09/24/12_1,0.860940869,0.666445808,0.823217306,0.963345969,0.901245905,0.876947938
518SDCAHR_06/12/13_1,1.172036804,1.021616452,1.122279673,1.08576769,1.158601588,1.052797109
518SED086_08/17/11_1,0.839671749,0.935101291,1.249544599,1.08389421,1.034614017,1.064007009
518SNCABC_09/26/12_1,1.137040135,0.991107928,1.272820826,1.259617178,1.220504099,1.048166023
518SPC134_06/18/13_1,1.26159486,1.012459357,1.078293059,1.111651204,1.357413532,0.993569993
518WE0521_06/19/13_1,1.170220019,1.220375468,0.458468306,1.011417947,1.075646058,1.182547607
518WLCBWL_08/05/13_1,1.091168409,1.100686884,0.445926302,0.889702244,1.011057942,0.967794605
518YLCAFR_08/17/11_1,1.068304365,0.895164215,1.38337375,1.08301353,1.136183909,1.038954978
522GSCBSC_09/24/09_1,0.658197133,1.014157148,0.552576165,1.067261412,0.745303838,0.932130717
522MFSCRB_09/18/08_1,0.909197031,0.861578077,1.164424535,1.003578518,1.074823289,0.983075371
522PS0504_06/11/13_1,1.100931555,1.02457739,0.194879474,1.012611416,0.882580915,1.007746113
523PS0172_08/10/11_1,1.154901689,1.003786518,1.045708425,0.75193858,1.191789346,1.065825628
523TMCATG_10/05/09_1,0.894943056,1.001977128,1.310827832,0.689334105,1.000898204,0.936312875
524PS0342_07/18/12_1,1.228488966,0.903035014,0.789731005,0.928859415,1.18224237,0.763242862
526PNCAMF_06/25/13_1,0.639978495,1.089611694,0,0.814865663,0.611896537,1.033370263
526PS1100_08/21/12_1,1.250190576,0.972082273,0.444341496,1.111651204,1.118620633,0.932970204
526PS1144_08/22/12_1,1.141761485,0.928241684,0.418060005,0.889702244,1.113057164,0.841466944
526PSCBLK_08/21/12_1,1.177073716,0.887724194,0.615076062,0.645963636,1.084195129,0.870329174
526WER123_08/21/12_1,1.104147415,1.075415952,1.109943095,1.065114983,1.051641361,1.028452126
526WTCACT_06/24/13_1,1.126476146,1.048367147,1.381801953,1.082391579,1.203400767,1.162290202
527PS1156_08/21/12_1,1.066958585,0.852777673,1.570372183,1.068098657,1.109363571,1.053219569
534CFSAIM_07/27/09_1,0.984720961,0.864652101,0.998098204,1.00664407,0.943980228,0.953311252
534DCC167_08/14/13_1,0.791176589,1.094318993,1.668449853,0.834517733,1.104596371,1.014539881
534MLC108_09/14/11_1,0.843775409,0.925070485,1.035341354,1.129867559,1.003100658,1.113474578
534PS0070_08/30/10_1,1.283001669,0.9753878,0.885333939,1.137426508,1.165292564,1.003972462
534SRCFFC_08/29/12_1,1.303145931,0.90160568,0.721762046,0.975903403,1.194752994,0.834115002
534WER219_08/29/12_1,0.935967726,1.067662332,1.130864998,1.04070724,0.85227551,1.121066645
536HLCBFM_06/18/13_1,0.760404037,1.242159698,0.652678646,0.666207951,0.914988424,1.075275782
536LLCACR_09/22/11_1,0.342299719,0.762796757,1.152195358,1.003943877,0.542844009,0.842181288
536PS0107_07/17/12_1,1.073396028,1.213771612,0.74829765,1.167138444,1.052123241,1.072981226
536SED006_09/20/11_1,0.619398846,1.082888446,1.516220535,1.025423297,0.870433719,1.031601221
536TRC119_06/18/13_1,1.186692582,1.143366134,1.264620748,0.97718212,1.234918592,1.119207191
537ADCH41_09/12/11_1,1.043322146,1.138763944,1.629100434,1.199998792,1.413763326,1.159610964
537BLCABG_09/15/11_1,1.014530388,0.971783685,0.72578514,1.167138444,0.947626499,1.065357462
537BSCAWR_07/15/08_1,1.253199306,0.957775092,0.574892026,1.031390643,1.029843357,0.972568385
537GZCAMR_08/07/08_1,1.280500569,0.966816489,0.900348201,0.978887076,1.211595112,0.967593817
537TYCAML_07/16/08_1,0.513873381,1.149498667,0.614847554,1.107282576,0.679343564,1.089478356
539NDCACC_10/15/09_1,1.221479421,0.92160299,0.65133063,1.133414104,0.893699506,1.019287685
540MNCASJ_08/24/10_1,0.872662776,1.238847583,1.263484766,1.148473067,0.940394759,1.137110699
540SED003_08/30/11_1,1.039786651,1.121654434,1.401753908,1.000824359,1.037563127,1.11090776
552FCA017_07/30/13_1,1.07988418,1.041921465,0.667963423,1.155260477,1.01154679,0.974763555
552KRSFBC_07/14/08_1,0.546142667,0.847775184,0.546833688,1.077926864,0.551806942,0.886006963
552MFC120_07/22/13_1,1.090054739,0.956879319,0.389558524,1.11761855,0.782598093,1.030250379
552PS0072_08/30/11_1,1.187461894,1.025193698,1.401340633,0.858705322,1.166507328,1.026042595
552PS0284_08/29/11_1,1.018839114,1.154924456,0.91494961,1.032419374,0.906352653,1.055499953
554CLCALK_08/23/11_1,1.087085171,1.068015073,1.690567642,1.169093387,1.432049205,1.137654256
554NYCGWD_08/25/11_1,1.106717439,1.171365487,0.64979603,0.977693607,0.89943035,1.11398494
554PMCABC_08/24/11_1,0.853833938,0.794515773,1.546900356,1.064259518,1.230544837,0.956968154
554PMCGWD_08/23/11_1,0.865052733,1.172570295,0.933751208,1.088383094,0.992522176,1.074828215
554SED027_08/24/11_1,1.029992229,1.008586517,0.949835161,1.08389421,1.039430216,0.992847441
601PS0077_08/07/12_1,1.325498554,0.821113139,0.818430752,1.053352084,1.245674938,0.822587013
603DDM005_09/13/11_1,0.850774176,1.065506026,0.2506902,1.000676724,0.719396225,1.033993168
603FCA145_08/21/13_1,1.144677162,0.960030067,0.975004181,1.167138444,1.268462716,1.046253092
603GSCADC_08/25/10_1,1.144277438,0.85908245,1.217317817,1.024742612,1.126378388,0.930758367
603OHCAOR_08/24/10_1,0.967913972,1.19017062,NA,0.834215004,0.910783544,0.99724654
603PS0008_07/30/08_1,0.847189613,1.368263131,0.975033591,1.166706448,0.768998613,0.924891529
603PS0045_08/29/11_1,0.979465007,0.946900086,1.070511098,1.200430788,0.952140765,1.047469983
603PS0056_08/31/11_1,1.167343011,1.246735859,1.315340188,0.905039143,1.115424813,0.984475602
603PS0073_09/13/11_1,1.165955349,0.850716984,0.912880202,1.119607666,1.071698165,1.018594243
603PS0076_07/23/12_1,1.296954111,1.055484059,1.432249342,1.047613794,1.507424417,1.140584882
603PS0092_07/25/12_1,1.050287571,1.090896356,NA,0.834215004,0.842362526,0.999067478
603PS0109_07/29/08_1,0.822995795,1.215240885,0.967071047,1.085883326,1.029719303,1.064978783
603PS0557_08/18/10_1,1.207577052,1.191605495,0.981993957,1.088383094,1.280635222,1.055924422
603PS1056_08/14/12_1,1.153928019,0.982519607,0.6796328,1.148473067,0.968412288,0.95357213
603PS1488_07/10/13_1,0.809868908,0.678417738,0.968355791,1.185634191,0.759035089,1.158697799
603RCC156_07/16/13_1,1.027520492,1.040046932,0.328165442,1.068098657,0.718048068,1.104668897
603SPCBWC_07/22/08_1,0.89584394,1.265432697,0.628268774,0.914689327,0.709351235,1.03109953
626PS0171_05/15/08_1,1.130226753,1.008136698,1.104070244,0.928089145,1.147915585,0.990781119
626PS0619_06/03/10_1,1.121325727,0.884099992,0.812240484,1.04070724,1.145197368,0.913641128
626PS0827_06/03/10_1,0.748288157,1.115465476,1.311134035,1.071189409,1.051948485,1.189411434
626PS1195_05/23/13_1,0.605550252,1.316268169,1.239736495,0.857940271,1.056968372,1.172262576
630SED034_08/06/12_1,0.947279862,1.023126693,1.427522699,0.797970131,1.144708879,1.056864445
631DEP001_08/28/12_1,1.061553897,0.833469646,0.204940226,1.000676724,0.777228031,0.927206125
631PS0011_07/28/09_1,1.177788776,1.008193192,1.175650143,1.009627743,1.023539383,1.082769143
631PS0023_08/04/09_1,1.115731726,0.774909921,0.65349452,1.133414104,1.098932479,0.913398353
631PS0033_08/30/10_1,1.069484624,1.060972059,0.515370314,1.167138444,0.901350076,1.099664945
631PS0145_07/02/14_1,0.744529059,0.910550433,0.937978767,1.143358199,0.928596862,1.032874347
632CHV001_07/23/10_1,1.063110969,0.897578638,0.892631577,0.962111507,1.319669901,0.890186732
632DIX001_09/03/12_1,1.114282492,1.010297494,0.832370939,1.11761855,1.051900351,1.070191047
632ELD001_09/08/11_1,1.062248873,1.22130191,0.518058473,1.170286856,1.074971734,1.113883786
632HNCAHL_08/31/10_1,0.930385181,0.58373304,1.295491544,1.216644964,1.110917259,0.927747508
632HOS002_09/04/12_1,0.992077026,0.84053187,1.23696068,1.097983858,1.168795234,0.93581538
632PS0007_07/23/08_1,1.279109675,0.951187868,0.175462783,1.278112925,0.927077612,0.881736402
632PS0014_08/03/09_1,0.845784583,1.093854969,1.084264866,1.178812755,0.927806538,1.066904995
632PS0058_08/15/11_1,1.014950719,0.935294805,0.665139869,1.200430788,0.952844687,0.996086744
633PS0083_09/04/12_1,1.06732255,0.926977045,0.776798253,0.918088465,1.256733189,1.079822444
633WCR003_09/04/12_1,0.92219519,0.954969559,0.94284089,0.698233219,0.90849423,1.069814859
634CAT055_10/04/11_1,0.894912442,1.013057871,1.554290133,1.02690176,0.888030232,1.066894382
634EGL005_10/03/11_1,0.839933756,1.136899863,0.829907884,0.955113687,0.689009883,1.010283132
634GACALL_09/10/13_1,1.391319711,1.075458008,0.892556855,0.867231911,0.987269282,1.006206969
634GRF001_10/03/11_1,0.798105054,1.266814248,1.327437328,1.212537095,1.012019139,1.117743552
634HHCATC_10/04/11_1,0.403416562,1.163248654,1.182945463,1.200430788,0.678833531,1.077375717
634PS0019_08/05/09_1,1.258677038,1.086104269,1.154395983,0.974113199,1.152865738,0.84753
634PS0035_09/01/10_1,0.571632401,1.235155497,1.093701437,0.977693607,0.635083816,1.057873882
634PS0062_10/12/11_1,0.795502542,1.046070681,0.35126582,1.167138444,0.752438364,1.031363481
634PS0099_09/10/12_1,0.998528888,1.01667703,0.728432141,1.002469198,0.914444511,1.100539078
634R10BMW_09/29/11_1,0.960073297,1.28627643,1.14925963,1.022830773,1.00054796,1.164194932
634R10UTR_09/28/11_1,0.985540062,1.11610859,1.064257402,1.011900339,1.046697724,1.049008008
634UTRADC_08/21/13_1,1.037865554,0.98240684,0.710903611,1.103101035,0.999645322,0.990566887
634WSN001_10/04/11_1,0.662246525,1.112467073,0.770491234,1.250369305,0.708196051,1.158393536
635PS0038_08/09/10_1,1.014738774,1.012146346,1.219318017,1.06213131,1.201779894,0.94286311
636PS0070_09/21/11_1,0.895133951,1.074542601,1.069468757,0.695314292,1.010121616,1.050259289
636SAG001_07/12/10_1,1.244743169,1.028636888,1.45376148,1.132236279,1.42368722,0.985509045
636SHCWES_07/30/13_1,1.2442366,0.971737959,0.506483763,0.79790784,1.331774728,0.895650548
639PS1279_06/11/13_1,0.799189472,0.86965838,0.873472584,1.07084182,0.92874673,0.939603353
641OWC157_07/24/13_1,1.232073492,0.93477789,0.530783896,0.934736497,1.050554287,0.991817098
705PCCPCP_05/21/13_1,0.628213167,0.861380437,0.55573481,0.97291973,0.756070416,0.938655843
