,OxyRed.DO_30.richness,Salinity.BF.richness,prop.spp.BCG4,prop.spp.IndicatorClass_DOC_high_raw
000CAT148_08/10/10_1,1.105045771,NA,0.284417893,1.076028336
000CAT228_08/10/10_1,0.937904777,NA,0.106061896,1.082073572
102PS0139_08/09/10_1,1.104531038,1.011074626,1.067604607,1.037558649
102PS0177_08/28/12_1,1.140609782,1.146404238,0.857257469,1.016785018
102PS0177_08/28/12_2,1.140609782,1.146404238,1.008446408,1.037558649
103CDCHHR_09/14/10_1,0.724482029,0.665245424,0.906380835,1.046590662
103CDCHHR_09/14/10_2,0.724482029,0.532968668,0.299352778,1.076028336
103FC1106_07/15/14_1,1.192303049,0.897139551,0.884277208,1.082073572
103FCA168_07/24/13_1,0.96936167,0.797522179,0.18982775,1.082073572
103KLCMSR_09/14/10_1,0.976376653,1.015590974,0.962320873,0.991395024
103PS0217_09/10/13_1,1.162789507,0.929798935,0.29754032,1.087701896
103RDCBCC_07/21/11_1,1.161822368,1.029416307,0.62029652,0.810037929
103STCNSR_08/09/11_1,1.140384116,1.150762523,1.328255618,1.175144004
103WER026_08/15/12_1,1.169501453,1.15941338,1.328255618,1.128110373
103WER026_08/15/12_2,1.169501453,1.027136624,1.328255618,1.143734985
103WER029_07/16/14_1,1.192303049,1.062075691,1.175494294,1.125026569
103WER030_08/10/11_1,1.142318394,1.150762523,1.222863047,0.893741204
105BVCAGC_09/21/10_1,1.050238454,1.138315344,0.790952864,1.004758179
105CE0329_07/23/14_1,0.94128347,0.877749711,0.535957903,1.153890982
105CLCATC_08/10/10_1,1.022328659,1.137622664,1.243806064,0.803017654
105CR0901_07/23/14_1,1.134052578,0.890816138,0,1.175144004
105CR0901_08/11/14_1,1.134052578,0.758539382,0.228787777,1.175144004
105CR0906_08/12/14_1,0.752670912,0.624949517,0.054870123,1.175144004
105CR0908_07/22/14_1,1.192303049,0.62539044,0,1.175144004
105CR0913_08/12/14_1,1.192303049,0.492672762,0.59666988,1.175144004
105CR1004_07/23/14_1,1.178044516,0.757226273,0.473205169,1.175144004
105DLCDCC_05/19/09_1,1.022754201,1.011835242,0.923457711,0.810037929
105DLCDCC_06/23/09_1,0.635898527,0.615004975,1.203937193,0.959657533
105DLCDCC_08/05/09_1,0.829326364,0.747281731,1.328255618,0.893741204
105DLCDCC_09/15/09_1,1.022754201,0.879558486,0.912898484,0.696871101
